data_zone,intermediate_zone,count
S02001066,Holmston and Forehill,5
S02000893,Holytown,10
S02001226,Houston,15
S02001012,Houston North,5
S02001009,Houston South,0
S02001214,Howden,40
S02000068,Howe of Alford,15
S02000136,Hunter's Quay,10
S02000083,Huntly,15
S02000359,Hutchison and Moat,10
S02000338,Hyvots and Gilmerton Dykes,5
S02000295,IZ Eight,15
S02001191,IZ Eight,5
S02000305,IZ Eighteen,20
S02001201,IZ Eighteen,15
S02000298,IZ Eleven,25
S02001194,IZ Eleven,5
S02000302,IZ Fifteen,20
S02001198,IZ Fifteen,15
S02000292,IZ Five,5
S02001188,IZ Five,10
S02000291,IZ Four,5
S02001187,IZ Four,5
S02000301,IZ Fourteen,15
S02001197,IZ Fourteen,10
S02000296,IZ Nine,25
S02001192,IZ Nine,30
S02000306,IZ Nineteen,10
S02000288,IZ One,10
S02001184,IZ One,5
S02000294,IZ Seven,5
S02001190,IZ Seven,5
S02000304,IZ Seventeen,15
S02001200,IZ Seventeen,30
S02000293,IZ Six,0
S02001189,IZ Six,10
S02000303,IZ Sixteen,15
S02001199,IZ Sixteen,5
S02000297,IZ Ten,5
S02001193,IZ Ten,0
S02000300,IZ Thirteen,5
S02001196,IZ Thirteen,5
S02000290,IZ Three,5
S02001186,IZ Three,5
S02000299,IZ Twelve,5
S02001195,IZ Twelve,5
S02000307,IZ Twenty,15
S02000308,IZ Twenty One,5
S02000309,IZ Twenty Two,30
S02000289,IZ Two,0
S02001185,IZ Two,35
S02000649,Ibrox,10
S02000644,Ibrox East and Cessnock,20
S02001039,Innerleithen and Walkerburn area,20
S02000079,"Insch, Oyne and Ythanwells",10
S02000756,Invergordon,10
S02000973,"Invergowrie, Longforgan and Abernyte",5
S02000483,Inverkeithing East,10
S02000773,Inverkip and Wemyss Bay,10
S02000415,Inverleith,10
S02000735,Inverness Ballifeary and Dalneigh,10
S02000742,"Inverness Central, Raigmore and Longman",95
S02000736,Inverness Crown and Haugh,40
S02000743,Inverness Culloden and Balloch,5
S02000734,Inverness Drakies,5
S02000732,Inverness Drummond,10
S02000727,Inverness East Rural,15
S02000733,Inverness Hilton,0
S02000729,Inverness Inshes and Slackbuie,15
S02000731,Inverness Kinmylies and South West,5
S02000730,Inverness Lochardil and Holm Mains,5
S02000744,Inverness Merkinch,5
S02000739,Inverness Muirtown,25
S02000741,Inverness Scorguie,0
S02000740,Inverness Smithton,5
S02000728,Inverness West Rural,20
S02000737,Inverness Westhill,15
S02000072,Inverurie North,10
S02000071,Inverurie South,35
S02000837,Irvine Bourtreehill,5
S02000836,Irvine Broomlands,0
S02000845,Irvine Castlepark North,0
S02000841,Irvine Castlepark South,5
S02000838,Irvine Central,40
S02000839,Irvine East,5
S02000835,Irvine Fullarton,20
S02000840,Irvine Girdle Toll and Staneca,0
S02000843,Irvine Perceton and Lawthorn,0
S02000833,Irvine Tarryholme,5
S02000947,Isles,10
S02001027,Jedburgh,15
S02000368,"Jewel, Brunstane and Newcraighall",20
S02000998,Johnstone North East,25
S02000994,Johnstone North West,10
S02000992,Johnstone South East,5
S02000988,Johnstone South West,0
S02000386,Joppa,10
S02000811,Keith and Fife Keith,15
S02001034,Kelso North,0
S02001032,Kelso South,20
S02000531,Kelty East,10
S02000532,Kelty West,0
S02000690,Kelvindale,10
S02000672,Kelvingrove and University,55
S02000689,Kelvinside and Jordanhill,20
S02000067,Kemnay,5
S02000557,Kennoway,10
S02000685,Keppochhill,5
S02000464,Kersiebank,0
S02000266,Kessington East,0
S02000269,Kessington West,10
S02000568,Kettle and Ladybank,10
S02000279,Keystone and Dougalston,15
S02000996,Kilbarchan,5
S02000865,Kilbirnie North,10
S02000863,Kilbirnie South and Longbar,5
S02000935,Kildrum,0
S02000771,Kilmacolm Central,10
S02000772,"Kilmacolm, Quarriers, Greenock Upper East/Central",0
S02000273,Kilmardinny East,5
S02000272,Kilmardinny West,10
S02000243,Kilmarnock South Central and Caprington,20
S02000256,Kilmaurs Rural,10
S02000940,Kilsyth Bogside,5
S02000942,Kilsyth East and Croy,20
S02000857,Kilwinning Central and North,15
S02000853,Kilwinning Pennyburn,0
S02000851,Kilwinning West and Blacklan,0
S02000856,Kilwinning Whitehirst Park and Woodside,0
S02000506,Kincardine,10
S02000006,"Kincorth, Leggart and Nigg North",5
S02000002,"Kincorth, Leggart and Nigg South",5
S02000507,Kinghorn,10
S02000600,Kingspark North,5
S02000595,Kingspark South,5
S02000631,Kingston West and Dumbreck,15
S02000035,Kingswells,15
S02000466,Kinneil,10
S02000642,Kinning Park and Festival Park,20
S02000950,Kinross,15
S02000066,Kintore and Blackburn,15
S02000131,Kintyre Trail,35
S02000518,Kirkcaldy Bennochy East,0
S02000520,Kirkcaldy Bennochy West,5
S02000516,Kirkcaldy Central,50
S02000535,Kirkcaldy Chapel,10
S02000533,Kirkcaldy Dunnikier,0
S02000530,Kirkcaldy Gallatown and Sinclairtown,10
S02000524,Kirkcaldy Hayfield and Smeaton,5
S02000512,Kirkcaldy Linktown and Seafield,0
S02000523,Kirkcaldy Newliston and Redcraigs,0
S02000522,Kirkcaldy Pathhead,10
S02000517,Kirkcaldy Raith,0
S02000526,Kirkcaldy Templehall East,5
S02000527,Kirkcaldy Templehall West,5
S02000166,Kirkcudbright,20
S02001231,Kirkhill,5
S02000275,Kirkintilloch South,0
S02000281,Kirkintilloch West,25
S02000391,Kirkliston,15
S02000165,Kirkmaiden,15
S02001088,Kirkmuirhill and Blackwood,5
S02000905,Kirkshaws,5
S02000228,Kirkton,5
S02001210,Kirkton,15
S02000907,Kirkwood and Bargeddie,10
S02000123,Kirriemuir,15
S02000117,Kirriemuir Landward,5
S02001223,Knightsridge,5
S02000699,Knightswood East,0
S02000698,Knightswood Park East,0
S02000706,Knightswood Park West,0
S02000703,Knightswood West,5
S02000879,Ladywell,5
S02001216,Ladywell,10
S02001129,Laighstonehall,5
S02001091,Lanark North East,10
S02001090,Lanark North West,5
S02001086,Lanark South,20
S02000195,Langholm and Canonbie,10
S02001036,Langlee,0
S02000604,Langside,0
S02000471,Larbert Village and South Broomage,10
S02000563,Largo,10
S02000866,Largs Central and Cumbrae,45
S02000869,Largs North,5
S02000868,Largs South,5
S02001102,"Larkhall Central, Raploch, Millheugh and Burnhead",25
S02000634,Laurieston and Tradeston,45
S02000450,Laurieston and Westquarter,5
S02000209,Law,5
S02001107,Law,0
S02000426,Leith Docks,65
S02000287,Lennoxtown,10
S02000270,Lenzie North,5
S02000267,Lenzie South,10
S02001052,Lerwick North,45
S02001051,Lerwick South,5
S02000551,Leslie and Newcastle,5
S02001084,Lesmahagow,10
S02000965,Letham,5
S02000116,Letham and Glamis,10
S02000580,Leuchars and Guardbridge,10
S02000566,Leven East and Bonnybank,15
S02000555,Leven North,0
S02000552,Leven West,5
S02000826,"Lhanbryde, Urquhart, Pitgavney and seaward",0
S02000342,Liberton East,5
S02000346,Liberton West,5
S02000187,Lincluden and Lochside,5
S02000221,Linlathen and Midcraigie,15
S02001235,Linlithgow Bridge,25
S02001234,Linlithgow North,5
S02001232,Linlithgow South,5
S02001006,Linwood North,0
S02001005,Linwood South,10
S02001111,Little Earnock,5
S02000803,Loanhead,15
S02000147,Loch Awe,40
S02000722,Loch Ness,50
S02000720,Lochaber East and North,65
S02000718,Lochaber West,60
S02000725,Lochalsh,30
S02000188,Locharbriggs,5
S02000214,Lochee,15
S02000529,Lochgelly East,10
S02000525,Lochgelly West and Lumphinnans,0
S02000443,"Lochgreen, Lionthorn and Prospecthill",0
S02000192,Lochmaben and Parkgate,10
S02000536,Lochore and Crosshill,5
